# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
147.649273, 4.609254, 0.154671, 984.400000
147.822519, 4.624730, 0.154847, 984.500000
147.994853, 4.640223, 0.155022, 984.600000
148.166848, 4.655734, 0.155197, 984.700000
148.338999, 4.671263, 0.155372, 984.800000
148.511014, 4.686809, 0.155546, 984.900000
148.683048, 4.702372, 0.155721, 985.000000
148.853957, 4.717953, 0.155894, 985.100000
149.025381, 4.733551, 0.156068, 985.200000
149.196360, 4.749167, 0.156242, 985.300000
149.367732, 4.764800, 0.156416, 985.400000
149.538007, 4.780450, 0.156589, 985.500000
149.708692, 4.796118, 0.156762, 985.600000
149.878935, 4.811803, 0.156934, 985.700000
150.049102, 4.827505, 0.157107, 985.800000
150.219580, 4.843225, 0.157280, 985.900000
150.389010, 4.858961, 0.157452, 986.000000
150.559336, 4.874715, 0.157625, 986.100000
150.728803, 4.890487, 0.157797, 986.200000
150.897919, 4.906275, 0.157968, 986.300000
151.067374, 4.922080, 0.158140, 986.400000
151.235983, 4.937903, 0.158311, 986.500000
151.405194, 4.953743, 0.158482, 986.600000
151.573526, 4.969600, 0.158653, 986.700000
151.741620, 4.985474, 0.158823, 986.800000
151.909820, 5.001365, 0.158993, 986.900000
152.078420, 5.017273, 0.159165, 987.000000
152.246123, 5.033198, 0.159334, 987.100000
152.413726, 5.049140, 0.159504, 987.200000
152.582111, 5.065099, 0.159675, 987.300000
152.748868, 5.081075, 0.159844, 987.400000
152.915778, 5.097068, 0.160013, 987.500000
153.083020, 5.113077, 0.160182, 987.600000
153.249800, 5.129104, 0.160351, 987.700000
153.416298, 5.145148, 0.160519, 987.800000
153.583563, 5.161208, 0.160689, 987.900000
153.749329, 5.177286, 0.160857, 988.000000
153.915790, 5.193380, 0.161025, 988.100000
154.082052, 5.209491, 0.161194, 988.200000
154.247709, 5.225619, 0.161361, 988.300000
154.412655, 5.241763, 0.161528, 988.400000
154.578607, 5.257924, 0.161696, 988.500000
154.743724, 5.274102, 0.161863, 988.600000
154.909441, 5.290297, 0.162031, 988.700000
155.074202, 5.306509, 0.162197, 988.800000
155.238994, 5.322737, 0.162364, 988.900000
155.402738, 5.338982, 0.162529, 989.000000
155.567477, 5.355243, 0.162696, 989.100000
155.732035, 5.371521, 0.162862, 989.200000
155.896126, 5.387816, 0.163028, 989.300000
156.060118, 5.404127, 0.163194, 989.400000
156.223923, 5.420455, 0.163359, 989.500000
156.387527, 5.436799, 0.163525, 989.600000
156.551015, 5.453160, 0.163690, 989.700000
156.713927, 5.469537, 0.163854, 989.800000
156.877600, 5.485931, 0.164020, 989.900000
157.040569, 5.502341, 0.164184, 990.000000
157.203420, 5.518768, 0.164349, 990.100000
157.365949, 5.535211, 0.164513, 990.200000
157.528189, 5.551671, 0.164677, 990.300000
157.690963, 5.568147, 0.164841, 990.400000
157.853093, 5.584639, 0.165005, 990.500000
158.014759, 5.601148, 0.165168, 990.600000
158.176667, 5.617673, 0.165332, 990.700000
158.338426, 5.634214, 0.165495, 990.800000
158.500021, 5.650772, 0.165658, 990.900000
158.661003, 5.667346, 0.165820, 991.000000
158.822220, 5.683936, 0.165983, 991.100000
158.983235, 5.700543, 0.166145, 991.200000
159.144696, 5.717166, 0.166309, 991.300000
159.304863, 5.733805, 0.166470, 991.400000
159.465367, 5.750460, 0.166632, 991.500000
159.626016, 5.767131, 0.166794, 991.600000
159.786572, 5.783819, 0.166956, 991.700000
159.946864, 5.800523, 0.167118, 991.800000
160.106591, 5.817242, 0.167279, 991.900000
160.265736, 5.833978, 0.167439, 992.000000
160.425132, 5.850730, 0.167599, 992.100000
160.585198, 5.867499, 0.167761, 992.200000
160.744365, 5.884283, 0.167921, 992.300000
160.903655, 5.901083, 0.168082, 992.400000
161.062570, 5.917899, 0.168242, 992.500000
161.221219, 5.934732, 0.168402, 992.600000
161.379985, 5.951580, 0.168562, 992.700000
161.537964, 5.968444, 0.168721, 992.800000
161.696883, 5.985324, 0.168881, 992.900000
161.855161, 6.002221, 0.169040, 993.000000
162.013605, 6.019133, 0.169200, 993.100000
162.171095, 6.036061, 0.169358, 993.200000
162.329177, 6.053005, 0.169518, 993.300000
162.486479, 6.069964, 0.169676, 993.400000
162.643959, 6.086940, 0.169834, 993.500000
162.801712, 6.103931, 0.169994, 993.600000
162.958373, 6.120939, 0.170151, 993.700000
163.115725, 6.137962, 0.170309, 993.800000
163.272413, 6.155001, 0.170467, 993.900000
163.429081, 6.172055, 0.170625, 994.000000
163.585762, 6.189126, 0.170782, 994.100000
163.741888, 6.206212, 0.170939, 994.200000
163.898632, 6.223314, 0.171097, 994.300000
164.054773, 6.240431, 0.171254, 994.400000
164.210256, 6.257565, 0.171410, 994.500000
164.366307, 6.274714, 0.171567, 994.600000
164.522526, 6.291878, 0.171725, 994.700000
164.677356, 6.309059, 0.171880, 994.800000
164.833166, 6.326255, 0.172037, 994.900000
164.988360, 6.343466, 0.172193, 995.000000
165.143471, 6.360693, 0.172348, 995.100000
165.298486, 6.377936, 0.172504, 995.200000
165.453530, 6.395194, 0.172660, 995.300000
165.608206, 6.412468, 0.172816, 995.400000
165.762330, 6.429757, 0.172970, 995.500000
165.916597, 6.447062, 0.173125, 995.600000
166.070707, 6.464383, 0.173280, 995.700000
166.225086, 6.481718, 0.173435, 995.800000
166.379111, 6.499070, 0.173590, 995.900000
166.533138, 6.516437, 0.173744, 996.000000
166.686335, 6.533819, 0.173898, 996.100000
166.839905, 6.551216, 0.174052, 996.200000
